,behavior,feature 1,feature 2,p-value
0,indifferent,nearbuilding,neargarden,0.1611
1,indifferent,nearbuilding,neargrass,0.0005
2,indifferent,nearbuilding,nearpedestrian,0.3692
3,indifferent,nearbuilding,nearwater,0.2612
4,indifferent,nearbuilding,nearwoods,0.0806
5,indifferent,neargarden,neargrass,0.0175
6,indifferent,neargarden,nearpedestrian,0.0186
7,indifferent,neargarden,nearwater,0.5284
8,indifferent,neargarden,nearwoods,0.9699
9,indifferent,neargrass,nearpedestrian,0.0
10,indifferent,neargrass,nearwater,0.0001
11,indifferent,neargrass,nearwoods,0.0004
12,indifferent,nearpedestrian,nearwater,0.0287
13,indifferent,nearpedestrian,nearwoods,0.0059
14,indifferent,nearwater,nearwoods,0.2393
15,runs_from,nearbuilding,neargarden,0.7759
16,runs_from,nearbuilding,neargrass,0.2948
17,runs_from,nearbuilding,nearpedestrian,0.421
18,runs_from,nearbuilding,nearwater,0.5241
19,runs_from,nearbuilding,nearwoods,0.2003
20,runs_from,neargarden,neargrass,0.0579
21,runs_from,neargarden,nearpedestrian,0.5271
22,runs_from,neargarden,nearwater,0.2213
23,runs_from,neargarden,nearwoods,0.0399
24,runs_from,neargrass,nearpedestrian,0.0428
25,runs_from,neargrass,nearwater,0.4611
26,runs_from,neargrass,nearwoods,0.6769
27,runs_from,nearpedestrian,nearwater,0.1131
28,runs_from,nearpedestrian,nearwoods,0.0292
29,runs_from,nearwater,nearwoods,0.1882
30,running,nearbuilding,neargarden,0.8955
31,running,nearbuilding,neargrass,0.5729
32,running,nearbuilding,nearpedestrian,0.2575
33,running,nearbuilding,nearwater,0.7846
34,running,nearbuilding,nearwoods,0.2153
35,running,neargarden,neargrass,0.3171
36,running,neargarden,nearpedestrian,0.2646
37,running,neargarden,nearwater,0.5953
38,running,neargarden,nearwoods,0.0771
39,running,neargrass,nearpedestrian,0.0444
40,running,neargrass,nearwater,0.5915
41,running,neargrass,nearwoods,0.1807
42,running,nearpedestrian,nearwater,0.1002
43,running,nearpedestrian,nearwoods,0.0121
44,running,nearwater,nearwoods,0.042
